drug_row	drug_col	cell_line_name	synergy_loewe
2662	3363	HT29	-12.54968968
25262965	24978538	RKO	-8.175757
4091	11977753	HT29	-11.99062473
11683	2708	A549	-11.49747985
25126798	176871	MCF7	3.572242255
644241	387447	PC3	-42.41789928
123631	5453	A549	3.513438927
9703	4114	PC3	-1.164938096
25126798	354624	HT29	-33.86530209
4114	3690	MCF7	-1.375654793
71384	444795	MCF7	-13.43954724
2123	3690	PC3	-5.363955926
42611257	457193	PC3	20.88
9826528	387447	A375	-5.798115234
6450551	444795	A549	3.035824112
2123	3363	PC3	-36.27549384
4211	2187	A549	-0.026341908
3062316	60699	HT29	-3.563033879
6450551	2187	PC3	-2.992670689
11525740	60198	HT29	-27.57803034
2662	4211	PC3	-1.190369518
3385	4114	PC3	1.095637662
216326	2123	PC3	-3.054375602
2662	354624	PC3	-11.84972402
60699	387447	A549	-13.43763047
2708	2478	HT29	-9.155525039
60198	3902	HT29	1.35192222
3062316	208908	MCF7	0.551406274
25126798	444795	A549	0.613280622
457193	644241	A549	10.46
24856436	24964624	VCAP	-0.806166616
3363	176871	PC3	-1.308477596
11683	5394	PC3	0.541700007
208908	3690	PC3	0.017220761
123631	4114	HT29	-5.379646103
25126798	60699	PC3	-20.23844406
2708	176871	MCF7	0.81840285
3902	444795	PC3	-3.323772908
60198	387447	HT29	-2.82211574
6450551	5394	PC3	-1.995096166
216326	5426	SW620	0.844507967
3062316	5426	PC3	8.449695623
42611257	354624	A549	-21.63752803
2123	5426	A549	-8.319856256
5426	60699	PC3	-21.60580378
11626560	2141	PC3	-11.1343358
60198	3062316	HT29	-1.267578522
23725625	9444	MCF7	41.98106
216326	444795	HT29	7.909062234
71384	4114	MCF7	2.512371498
9703	60699	PC3	-34.90313753
2123	9703	HT29	-0.939782096
216326	208908	MCF7	2.30243538
3902	4114	MCF7	-3.989309391
11626560	9703	HT29	-9.102466001
2123	3363	HT29	-22.77455687
5311	176871	MCF7	-13.34447326
3385	2662	A549	-8.081462511
5453	5311	HT29	-9.275097841
42611257	5394	HCT116	-2.381888908
71384	2187	A549	-2.105448853
5311	11960529	RKO	-25.10046571
6450551	57469	A549	-10.6960221
444795	2187	A549	-2.343819964
123631	60198	HT29	-2.129270771
60198	2662	PC3	-1.265429993
2094	3690	MCF7	0.72211228
6450551	3385	PC3	0.405073588
5453	3062316	MCF7	-2.147500818
11525740	2187	MCF7	-5.328788506
2123	387447	HT29	-12.36487325
11626560	11683	A549	-10.00137881
6450551	11525740	A549	-2.153787919
60198	57469	PC3	1.127470346
11626560	123631	A549	7.914386534
71384	3385	PC3	3.460916434
46215815	9884685	SW620	15.0
11626560	457193	HT29	10.08
5394	208908	VCAP	-8.382146446
444795	5426	PC3	0.335950919
6450551	60198	PC3	-2.018574653
387447	11977753	RKO	-0.452792374
5453	5311	A549	-1.093490954
123631	9703	MCF7	-3.64443097
3363	60699	A549	-1.75659668
5453	5394	A549	-21.32410826
444795	5394	HT29	2.670170052
6450551	2123	A549	-10.85541358
2662	3690	PC3	-1.541678419
5453	2187	A549	-4.644506645
3062316	176871	PC3	-2.472724443
11525740	5394	A549	-6.84187758
25126798	2478	PC3	-5.392233642
6450551	123631	MCF7	9.502251401
6450551	11626560	PC3	-2.772133616
25126798	354624	PC3	-7.120608184
71384	60699	A549	2.618142538
123631	2123	MCF7	-14.42912355
6450551	9703	HT29	-4.604659381
2662	5453	PC3	-4.751376775
25126798	123631	HS578T	1.754180556
644241	57469	PC3	3.018216593
11626560	4211	A549	-13.48117708
387447	11977753	A375	4.735000067
3363	2094	MCF7	-9.825716035
3902	4114	PC3	-0.477604633
3902	176871	HT29	-1.213403568
11683	387447	HT29	-7.749810993
3363	644241	PC3	-8.643157708
123631	354624	PC3	5.328741066
3385	644241	MCF7	3.635262269
3902	5311	A549	-11.35446295
11525740	354624	MCF7	-19.19790013
11626560	2094	MCF7	-4.048735314
25126798	5394	MCF7	-6.893081164
5394	4211	MCF7	-5.185927013
60198	3902	MCF7	-3.485097353
5311	5394	VCAP	-57.33270155
5311	11960529	HT29	-37.9622509
42611257	644241	HT29	-5.013355543
71384	644241	PC3	-5.78
25126798	5453	PC3	-5.106040843
3363	2187	PC3	0.304273834
71384	11683	PC3	-1.411148316
354624	208908	A549	-0.460270578
208908	11977753	HT29	14.4077872
5453	387447	HT29	-22.32478023
24856436	11960529	SW620	-58.0733838
42611257	3062316	MCF7	-1.929726856
4211	2478	PC3	-0.326579874
11683	2094	PC3	-5.340427213
208908	57469	MCF7	-1.747074558
25126798	2123	MCF7	-9.299149545
5311	24856436	A375	7.228376736
42611257	2094	MCF7	-0.407974116
444795	5426	HT29	1.45419216
216326	3062316	MCF7	-3.620935123
9826528	3062316	HT29	10.17813797
644241	5311	A549	-13.98054153
24856436	11960529	HCT116	-61.95986899
11960529	11977753	HT29	-23.1064815
3062316	11977753	A375	14.35445463
5453	2141	PC3	-12.78215651
123631	71384	HT29	5.471435063
123631	11683	PC3	-10.3566771
11683	9703	A549	-1.236863627
11525740	387447	HT29	-3.445095469
5426	57469	HT29	0.589740086
3385	11626560	MCF7	1.644414726
644241	3690	PC3	0.475059763
6450551	25126798	A549	2.076890215
644241	354624	A549	-11.98932008
2478	57469	A549	-4.873261836
123631	208908	MCF7	1.698864988
71384	644241	HT29	2.700033556
60198	42611257	HT29	-5.998416686
11626560	5426	A549	-10.38031362
71384	57469	HT29	3.520283611
2708	2141	MCF7	-7.543578886
71384	3385	A549	4.621886391
60198	4211	MCF7	1.335454125
2187	5426	HT29	2.078410202
24856436	11977753	LOVO	3.194978668
6450551	123631	PC3	-3.04057995
60198	57469	A549	2.678007203
11626560	387447	PC3	-0.509215949
216326	4211	PC3	2.096728557
2708	3062316	A549	-20.0751567
2187	57469	HT29	-7.54865272
4091	24856436	VCAP	-58.53591409
9826528	11977753	VCAP	0.930029093
3062316	11960529	VCAP	-1.338926785
2708	2094	MCF7	-6.968524888
3363	644241	A549	-41.29085603
11626560	3363	MCF7	3.857353884
42611257	3363	HT29	-7.4195568
2662	176871	PC3	-0.456027088
11626560	2478	A549	-19.56377659
42611257	208908	PC3	5.847258245
6450551	4211	A549	-3.095807626
11683	2187	HT29	-8.235683045
11525740	2123	A549	-3.832667735
6450551	216326	A549	-1.45390242
11626560	3363	A549	-16.52230483
2662	2094	MCF7	-2.237276321
3385	42611257	A549	-1.930208734
11525740	2662	A549	8.608853631
2123	354624	PC3	-12.94398853
5311	60699	HT29	-31.14042051
3062316	4114	MCF7	-2.093916002
2187	354624	A549	-5.026141503
444795	3062316	A549	-12.35095116
6450551	3902	MCF7	2.893282153
3363	387447	PC3	-8.7939751
354624	3690	PC3	-4.289968237
354624	9703	MCF7	-1.182952984
42611257	2662	A549	1.808002182
42611257	644241	HS578T	-0.797650494
2187	9703	A549	-3.210278502
2094	9703	PC3	-0.994258395
42611257	387447	PC3	-2.138007345
6450551	4114	A549	-2.898227808
216326	57469	PC3	1.185571067
60198	444795	A549	-0.390097665
11626560	11683	HT29	-6.540168159
644241	57469	A549	-1.000887753
5743	9826528	VCAP	1.071396158
208908	2187	A549	-0.326529228
71384	644241	A549	1.410032839
25126798	3062316	PC3	-16.56546744
644241	60699	MCF7	-7.480403692
208908	4114	A549	-2.124143555
11626560	60699	PC3	-5.297097938
11626560	11525740	A549	-10.98856749
71384	2708	PC3	4.879516803
3902	387447	MCF7	-13.3298885
71384	4211	MCF7	-1.992030754
387447	11960529	VCAP	-47.86822161
42611257	3062316	HT29	9.883513035
42611257	457193	A549	23.05
123631	444795	HT29	10.9771547
216326	57469	HCT116	2.421698847
2662	176871	A549	-0.732642731
2187	3690	PC3	-3.644802556
216326	3062316	HT29	-18.98102611
123631	57469	PC3	-0.284523072
71384	176871	A549	4.942815645
5311	208908	VCAP	3.271446373
387447	11960529	RKO	-2.155273121
11525740	5311	HT29	-9.339836217
42611257	9703	MCF7	-4.744457951
25126798	60699	MCF7	-6.740032514
3902	444795	MCF7	-5.145286835
2478	2094	MCF7	1.411634068
6450551	3690	MCF7	-2.075979513
36462	5394	HT29	-47.75847402
3363	5394	MCF7	-24.9217647
11626560	25126798	A549	-1.320452193
354624	60699	HT29	-10.39907311
3902	387447	A549	2.764347718
60198	2141	PC3	-36.28416435
11525740	387447	A549	-2.630918353
23725625	24964624	BT20	23.57585
2187	4114	HT29	-0.01981407
5394	5311	HCT116	-52.83680189
216326	5453	A549	-0.245888913
3363	176871	HT29	-34.63144456
2662	208908	PC3	-3.713040823
216326	11683	HT29	-1.721638464
3363	2478	HT29	-14.85814016
71384	2141	MCF7	-5.952324628
2478	9703	HT29	-0.846014755
5426	387447	A549	-57.15581443
11626560	2662	MCF7	2.205562366
5394	24964624	HT29	-32.03840701
5426	9703	PC3	-2.053304908
6450551	57469	PC3	-2.433905751
2123	2478	HT29	-6.098967611
9826528	11977753	HT29	6.983166783
3385	5311	MCF7	12.85594551
71384	387447	A549	6.151425827
5426	3690	PC3	2.89691168
3363	644241	HT29	4.052149452
354624	57469	HT29	-2.161244892
5394	24964624	RKO	-11.63612524
123631	60198	PC3	6.853041624
644241	2094	PC3	-1.616527973
25126798	2187	PC3	0.194815687
11683	60699	PC3	-20.90060497
17755052	23725625	MDAMB231	21.37534
6450551	4114	HT29	-4.075813761
71384	644241	MCF7	-5.77990281
2123	4114	HT29	-2.817639408
6450551	42611257	PC3	2.932364457
2141	60699	A549	-33.86230438
11960529	11977753	LOVO	-14.24100002
3902	208908	PC3	-6.688834951
354624	5426	MCF7	-0.920269395
2708	354624	MCF7	-3.936114349
354624	4114	HT29	-3.978092848
2123	4211	HT29	8.798307151
216326	644241	MCF7	-0.092304978
354624	176871	MCF7	-2.104354699
11525740	457193	PC3	12.14
5311	24964624	LOVO	2.926380356
2662	3363	A549	-37.77068368
11626560	3690	MCF7	-7.67203656
216326	2187	PC3	3.949994218
2662	354624	HT29	3.098285088
42611257	644241	MCF7	5.191184851
10127622	5311	MCF7	32.96191
11683	5394	MCF7	-9.010525018
5426	4114	PC3	4.992898067
3385	42611257	PC3	6.17
354624	2094	MCF7	-0.591721038
6450551	216326	MCF7	3.135414154
5394	24964624	HCT116	-19.98968059
57469	387447	HT29	-21.6274282
6450551	2708	MCF7	2.257012015
42611257	4211	A549	-9.192644709
11683	2123	MCF7	-3.920869003
11626560	644241	A549	-9.462728753
3385	2094	PC3	-11.58711793
2123	3363	MCF7	-13.87329189
10127622	17755052	SKBR3	-5.30532725
354624	387447	PC3	-4.038986609
60198	9703	A549	-16.17827521
6450551	3385	A549	1.696936466
11626560	10127622	MCF7	10.3263
208908	2187	HT29	-6.37969771
11626560	5394	MCF7	-18.54528973
3062316	9703	PC3	-3.06897175
6450551	5453	PC3	-0.380195237
25126798	457193	MCF7	18.76
216326	4211	MCF7	2.722754417
123631	60198	A549	-1.326190075
71384	5453	HT29	-0.684199439
42611257	3062316	A549	-5.645209358
2123	2662	PC3	0.260481095
60198	9703	HT29	-15.27129171
2123	3062316	A549	-83.25875611
5453	4211	A549	-25.68811362
60699	387447	MCF7	-1.603362434
3385	2708	PC3	4.095596768
3902	2187	HT29	0.261926627
11683	5311	A549	-2.140701024
36462	11977753	A375	8.306352442
11960529	11977753	A375	-29.69790992
60198	208908	A549	-0.098696954
11626560	3902	HT29	0.802774083
60198	4114	MCF7	3.133945878
2094	57469	PC3	-0.798371767
5394	5311	SKMEL28	-60.81931307
3902	60699	HT29	-25.62970264
3062316	4114	HT29	-25.17170387
2708	4211	A549	-9.501678277
5311	24964624	HCT116	-1.779643761
5288382	11977753	A375	6.927107223
16720766	123631	MCF7	15.52719
42611257	2662	PC3	-3.117867356
11494412	123631	MCF7	18.97115
123631	4211	HT29	-1.341621035
11626560	2141	MCF7	-13.14014422
71384	444795	PC3	0.709624791
5311	2141	A549	-0.916651621
3363	57469	A549	-13.96769302
5453	644241	HT29	4.033950266
4114	3690	PC3	-0.805448125
25126798	208908	MCF7	1.851863656
5394	24856436	HCT116	-90.69043719
354624	2478	PC3	-5.909723253
3363	208908	HT29	-28.19412551
3363	444795	PC3	-20.61450588
6450551	354624	HT29	-4.468021016
2123	176871	A549	-5.576181659
644241	5311	HT29	-15.11432827
2123	57469	A549	-4.377520429
5311	2478	HT29	-10.42221326
25126798	3902	MCF7	4.82378518
2123	11626560	MCF7	-12.24632172
23725625	11494412	MCF7	15.75839
6450551	3690	PC3	9.36
2733526	123631	MCF7	25.52243
25126798	2123	PC3	-4.174121178
2708	2141	PC3	-8.002354635
3902	208908	A549	-8.380390569
25126798	216326	PC3	-6.396237361
42611257	3690	MCF7	2.200035948
3363	4211	HT29	-11.64727271
216326	5311	SW620	-27.83
25126798	5426	HT29	-2.725544652
24964624	387447	A375	-42.19452421
2662	644241	HT29	4.071022318
216326	5311	PC3	6.792620417
2708	5453	PC3	-2.825595546
71384	11683	A549	-3.779524977
11626560	9703	PC3	-11.4433822
10127622	24964624	BT20	37.38107
2708	2478	PC3	-4.396087036
354624	2141	PC3	-76.99729914
25126798	60198	HT29	-29.38380812
2123	3062316	PC3	0.36379562
3385	2187	MCF7	8.225543931
2123	9703	PC3	-5.838578487
42611257	5426	HT29	-19.3660627
5743	11960529	HT29	-0.33852459
3385	354624	A549	-1.723164639
11683	354624	A549	-39.00475215
5743	5394	A375	-1.388650813
25126798	387447	A549	-3.163244199
2662	4114	MCF7	-2.848591878
216326	5394	MCF7	-0.885694796
36462	9826528	A375	2.865074271
6450551	11626560	MCF7	0.866321855
5453	9703	HT29	-2.667214118
60198	2141	PC3	-28.57
6450551	2123	HT29	-13.08600662
2662	9703	MCF7	-0.973640889
5426	4114	MCF7	-0.673466463
6450551	354624	MCF7	-2.662123287
5394	24964624	LOVO	-15.40190338
123631	2123	HT29	1.106666948
42611257	354624	PC3	-2.345841898
5453	5394	PC3	0.079001669
2123	2187	A549	-9.234225711
60198	2141	MCF7	-32.47301638
42611257	57469	PC3	2.327440687
60198	354624	HT29	-10.03456599
42611257	11525740	MDAMB231	5.53
11626560	11525740	HT29	-2.777026633
11683	3385	MCF7	-9.785526092
3363	5426	MCF7	-19.83095771
387447	11960529	HT29	-49.42090193
11683	176871	MCF7	-26.96093474
354624	208908	HT29	-5.577212415
5394	2141	PC3	5.093198077
5311	387447	SW620	7.8
4211	4114	PC3	-1.554709163
2662	4211	A549	-2.74177834
5453	3062316	HT29	-1.600357673
6450551	4211	PC3	3.387514476
57469	176871	HT29	-5.408221617
42611257	2187	MCF7	-2.101423629
123631	354624	HT29	3.422046313
6450551	3363	HT29	-19.29801115
5743	5311	HT29	-35.46047368
71384	57469	PC3	0.819654375
2708	5311	PC3	-1.012967125
3902	57469	HT29	-2.506399543
5311	3690	PC3	-16.73474427
216326	2187	A549	-2.073121256
11626560	354624	PC3	3.02685944
11626560	5311	PC3	-0.504330957
60198	176871	MCF7	-6.693908923
11626560	216326	HT29	-2.945991147
644241	2141	A549	-1.295318184
5311	2478	MCF7	0.882735866
5311	3062316	MCF7	-6.88109691
42611257	176871	MCF7	-4.316013439
2708	5394	PC3	-9.963125232
3363	4211	MCF7	-19.16600301
36462	24856436	HT29	6.64230172
6450551	3363	MCF7	-0.335312762
17755052	23725625	BT20	22.76175
11525740	5394	MCF7	-9.706622479
2123	60699	HT29	-36.88037336
71384	2478	A549	-0.884258188
2478	5426	HT29	4.983858655
3902	644241	A549	-4.477305091
4114	60699	A549	-12.93362963
11525740	9703	A549	-9.05822139
5311	3062316	A549	-4.529438767
11525740	2141	MCF7	-8.261717205
5426	60699	A549	-13.13269789
25126798	208908	HT29	-8.398299786
6450551	208908	PC3	9.240674411
216326	3062316	A549	-12.09950662
71384	2123	A549	-16.1323307
4091	208908	A375	-1.671975138
11683	644241	PC3	-0.652217419
36462	9826528	VCAP	2.348723348
3363	444795	A549	0.485661796
25126798	3062316	MCF7	1.160821559
11525740	5453	A549	-22.60017066
3902	3062316	HT29	-13.05494464
123631	5394	A549	-9.307742072
5453	5426	MCF7	-1.133422083
3385	5311	PC3	3.939187351
216326	4211	HT29	3.263984778
11525740	208908	MCF7	-3.76448897
5453	208908	MCF7	-4.83393099
3062316	60699	PC3	4.777247257
123631	208908	HS578T	-2.957834237
71384	2478	PC3	-0.350474472
3902	57469	MCF7	0.395311048
11626560	2187	A549	-0.712560505
11626560	4114	HT29	-2.852063465
3363	5311	MCF7	-4.535669618
11683	3363	PC3	-31.29410217
2708	11626560	PC3	-2.429071716
2708	60699	PC3	-7.070743306
2662	5394	A549	-1.483368983
11525740	71384	MCF7	-2.615180358
25126798	2141	PC3	-2.316353819
4091	9826528	HT29	-41.23137949
2478	5426	PC3	-1.636443006
42611257	5311	SKMEL28	-24.13
216326	444795	MCF7	-17.09909143
11683	354624	PC3	-14.79380968
2123	3902	PC3	3.076255762
24856436	11977753	A375	16.45265624
25126798	387447	HT29	-9.654356722
60198	444795	PC3	0.491259925
444795	4211	A549	-6.498130459
60198	5394	A549	-13.66237214
216326	208908	A549	3.884515895
6450551	5394	A549	-16.5015445
2708	3363	MCF7	3.833037878
11626560	4114	MCF7	-7.617374652
2187	60699	A549	-11.47386521
3902	60699	A549	-17.80270318
5426	60699	HT29	-59.69665373
444795	5311	HT29	-4.144237594
3385	457193	MCF7	5.5
11626560	5453	MCF7	-0.937870865
3690	2141	PC3	-2.402812258
11626560	387447	HT29	2.410585247
444795	176871	A549	6.530910696
2662	2094	PC3	0.211853337
60198	11683	PC3	-22.22917722
216326	2141	PC3	-1.400422603
2662	5453	HT29	-2.005177626
11683	42611257	A549	-1.836090694
25126798	5311	PC3	-14.79510642
5453	2478	MCF7	-35.80861285
123631	9703	A549	-8.669254624
3385	3902	A549	-4.458177834
3902	4211	HT29	2.990774962
4211	2141	PC3	5.483278201
71384	5426	MCF7	-0.828389524
6450551	644241	HT29	-2.533688807
2123	5426	HT29	0.835585163
11525740	3902	A549	1.95673109
5394	11977753	HT29	-28.19044276
2662	5311	HT29	-2.011598444
71384	387447	MCF7	0.0133497
644241	208908	A549	-11.02787902
216326	387447	HCT116	1.447660419
2123	5453	MCF7	-12.05716624
71384	2708	MCF7	-0.476594428
5426	176871	HT29	3.699842695
3062316	5426	HT29	-8.541511619
60198	387447	MCF7	2.595180616
24964624	387447	SW620	-2.047848535
11707110	123631	MCF7	24.47381
208908	11977753	A375	-18.79754784
4211	4114	MCF7	-0.056796519
216326	2187	MCF7	-3.808458685
123631	3902	HT29	-0.614807442
387447	5288382	A375	-1.451990483
6450551	5394	HT29	-11.28355708
71384	4114	HT29	1.755329681
354624	3062316	MCF7	-1.741221073
444795	5394	A549	-11.98885253
216326	3902	MCF7	-2.428806797
2708	60699	PC3	-6.87
123631	444795	A549	8.203039915
2123	4211	MCF7	-3.273659233
6450551	2187	A549	-2.64275174
5394	5426	PC3	-2.366023956
36462	24856436	VCAP	8.427814023
3385	2123	PC3	-6.460975771
71384	5426	A549	-8.864970176
208908	4211	A549	-3.115431299
9826528	9884685	HT29	15.0
57469	176871	MCF7	-1.366868256
5743	9826528	HT29	-37.76415696
5453	2141	MCF7	-5.060810387
11626560	216326	A549	0.32316543
5453	354624	A549	-1.47624541
123631	176871	HS578T	0.238499097
2123	2141	A549	-5.925269829
11683	354624	MCF7	-28.13386173
24964624	11977753	VCAP	11.02391283
60198	71384	HT29	0.592285888
6450551	208908	MCF7	-1.630483121
11525740	3902	MCF7	-2.685964066
2123	2187	PC3	1.81820966
2662	9703	A549	-0.351601855
11683	2662	PC3	4.107583983
2662	208908	HT29	-4.171971587
123631	24978538	MCF7	-6.117267
5394	5426	MCF7	0.266744696
11525740	5311	MCF7	-14.38504401
123631	5453	HT29	-0.005211476
11525740	354624	PC3	-3.133353488
2478	2187	PC3	-1.211608049
9703	4114	A549	-0.265839535
25126798	3363	MCF7	-14.58488503
123631	3690	PC3	-23.45726099
644241	60699	HT29	-25.1331282
354624	3062316	HT29	-4.794045027
36462	11977753	VCAP	3.7371745
11683	387447	MCF7	-12.24087292
6450551	9703	PC3	-2.272361704
3385	208908	MCF7	3.931186747
2662	60699	HT29	-42.79505839
4114	60699	PC3	-24.4610251
3902	4114	HT29	1.930433034
216326	5426	SKMEL28	4.296026441
644241	2141	PC3	3.093843154
9826528	387447	VCAP	-33.91531675
5311	5426	PC3	1.504760113
3902	60699	MCF7	-11.86522784
10127622	2733526	MCF7	78.28401
24964624	11977753	LOVO	7.068418012
444795	644241	MCF7	-7.242234452
23725625	11717001	MCF7	19.48418
25126798	57469	A549	-7.394558994
3363	60699	PC3	-2.000039189
11964036	10127622	RKO	50.70135
42611257	3902	HT29	-8.365361056
123631	3062316	MCF7	-2.02061001
42611257	3690	PC3	3.691844443
71384	4211	HT29	5.261613328
2662	57469	PC3	-0.354339519
2123	60699	PC3	-15.48182752
216326	3690	MCF7	-4.849318899
444795	2094	PC3	-3.010157609
5311	2094	PC3	-12.22719589
216326	2094	MCF7	2.585635634
354624	4211	PC3	-4.714608084
5311	11977753	VCAP	7.825753178
42611257	5394	A549	-13.85716156
444795	2141	MCF7	-10.18306209
5426	9703	A549	0.428803277
2123	644241	MCF7	-4.314372251
25126798	5394	HT29	-9.060752175
5426	4114	A549	1.001519692
2123	2708	HT29	-11.47061841
3385	176871	MCF7	7.368588713
42611257	176871	HS578T	7.974886558
6450551	3062316	MCF7	2.364867375
25126798	2141	A549	-14.68641531
5311	11960529	SW620	-47.03931521
5311	57469	HCT116	8.509420981
3363	3690	PC3	-19.50703416
123631	4211	PC3	-6.36217064
5311	387447	A375	-1.993310846
354624	3690	MCF7	-2.699043506
216326	5394	HT29	2.008361536
60198	3385	MCF7	-1.610443949
644241	5426	A549	-2.828523658
11626560	2187	HT29	3.163724021
9703	57469	HT29	1.979397189
216326	5453	HT29	2.100635581
3062316	176871	MCF7	-1.475182373
3363	3062316	MCF7	-3.943236681
17754438	123631	MCF7	30.21222
2123	3902	A549	-3.849200079
644241	9703	HT29	-6.1443231
25126798	42611257	HT29	-27.15957638
123631	5394	MCF7	-8.155892922
2708	387447	HT29	-8.703279784
57469	387447	HCT116	-33.20923853
444795	57469	HT29	-1.007491934
208908	2478	HT29	-7.304093592
123631	71384	PC3	9.945641718
216326	387447	HT29	-0.716539914
5394	2478	MCF7	-1.504170432
4211	176871	HT29	-0.572531206
24856436	11977753	SW620	6.61
5426	4114	HT29	-0.075550157
444795	3690	MCF7	-8.320760586
216326	387447	SW620	-10.36
2123	42611257	PC3	2.492368672
11683	5394	A549	-3.430608131
2094	4114	MCF7	0.110567639
2708	644241	MCF7	1.535170442
457193	208908	HT29	9.27
3385	4211	A549	-9.111142407
5311	9826528	HT29	-0.528031953
3363	2187	MCF7	-4.694864905
11626560	123631	PC3	3.011204732
444795	2187	PC3	1.369616755
3902	2187	PC3	-2.411406694
5453	3363	PC3	-29.22606937
208908	4114	PC3	-1.576343939
23725625	9826528	HT29	-15.0
5453	644241	MCF7	-4.437876766
60198	5311	A549	0.194092414
3363	208908	PC3	-16.74454828
11525740	216326	PC3	-3.457237439
123631	2662	HT29	7.66542042
4211	9703	PC3	-1.410341214
6450551	3363	PC3	-6.892940077
3902	5311	MCF7	-12.68898686
11525740	11683	HT29	5.904176757
5311	176871	A549	7.933954733
6450551	11683	MCF7	-15.62739949
11525740	5394	HT29	-7.964927342
42611257	2478	MCF7	-3.946705314
5394	644241	PC3	-7.170396269
123631	60699	HT29	-3.549136838
2708	2094	PC3	-9.954564251
444795	4114	MCF7	-0.961686769
11525740	444795	MCF7	-15.71446207
11683	208908	PC3	-1.324866291
5394	2094	MCF7	1.27678446
6450551	5426	HT29	2.410266359
25126798	2123	A549	-9.676939443
2662	57469	MCF7	-3.306503619
42611257	5426	PC3	4.407109718
3902	2141	PC3	5.055353592
5394	2141	MCF7	-2.366527945
123631	60699	PC3	2.13037813
2478	9703	A549	2.452210255
11525740	3385	A549	-6.738012362
11525740	3062316	A549	-50.09776375
11525740	4211	PC3	6.261013087
5453	176871	HT29	-1.175776842
11683	3902	A549	-3.230850837
5453	4211	PC3	-10.28041637
444795	208908	PC3	-0.517701479
11626560	5426	HT29	-2.662991553
2187	644241	A549	-2.601363135
6450551	2662	A549	-1.495306005
11683	2478	PC3	-5.219312028
2708	2478	MCF7	-10.08158637
2708	4114	PC3	-5.579371479
24856436	11960529	VCAP	-63.66674222
5426	57469	A549	0.275249972
3385	444795	MCF7	6.340915816
3385	3690	PC3	-8.996200668
11683	208908	HT29	3.348132633
644241	60699	A549	-31.82621642
11683	5453	A549	-23.72851109
71384	5426	PC3	1.146099858
10127622	11707110	MCF7	1.946233
123631	644241	PC3	-6.89
17755052	24964624	BT20	32.94524
3363	4114	PC3	-13.63306439
3385	3363	MCF7	10.75621617
2662	444795	MCF7	0.575642183
354624	4211	MCF7	-0.363353673
5311	9703	MCF7	-1.852924897
644241	387447	A549	-36.84422916
5394	3062316	VCAP	-10.7076878
11525740	4211	MCF7	7.919434837
5311	57469	HT29	-7.754797789
5453	4114	PC3	-6.354714626
11525740	176871	MDAMB231	13.69
2123	387447	MCF7	-5.131539591
5453	644241	PC3	-1.45397848
3690	60699	MCF7	-89.12477421
216326	71384	A549	0.149263634
354624	5426	A549	-1.407739132
60198	2708	MCF7	-3.352362829
24856436	123631	MCF7	8.795284
11683	2478	A549	3.738769467
24856436	11977753	HCT116	7.235170469
5453	5311	PC3	-5.227485814
208908	60699	A549	-15.10407013
4211	387447	HT29	-41.41105209
3385	387447	PC3	4.943860262
11626560	2662	PC3	1.657180453
11525740	60699	PC3	-11.36999769
11626560	176871	HT29	-3.241597166
